"Vorwahl";"Ortsnetzname";"Gemeindename";"Gemeindekennzahl"
"02064";"Dinslaken";"Hunxe";"05170016"
"02065";"Duisburg-Rheinhausen";"Duisburg, Stadt";"05112000"
"02066";"Duisburg-Homberg";"Duisburg, Stadt";"05112000"
"0208";"Oberhausen Rheinl";"Mulheim an der Ruhr, Stadt";"05117000"
"0208";"Oberhausen Rheinl";"Oberhausen, Stadt";"05119000"
"0209";"Gelsenkirchen";"Gelsenkirchen, Stadt";"05513000"
"0209";"Gelsenkirchen";"Herten, Stadt";"05562020"
"02102";"Ratingen";"Heiligenhaus, Stadt";"05158012"
"02102";"Ratingen";"Ratingen, Stadt";"05158028"
"02103";"Hilden";"Erkrath, Stadt";"05158004"
"02103";"Hilden";"Hilden, Stadt";"05158016"
"02103";"Hilden";"Solingen, Stadt";"05122000"
"02104";"Mettmann";"Erkrath, Stadt";"05158004"
"02104";"Mettmann";"Haan, Stadt";"05158008"
"02104";"Mettmann";"Mettmann, Stadt";"05158024"
"0211";"Dusseldorf";"Dusseldorf, Stadt";"05111000"
"0211";"Dusseldorf";"Erkrath, Stadt";"05158004"
"0211";"Dusseldorf";"Hilden, Stadt";"05158016"
"0212";"Solingen";"Hilden, Stadt";"05158016"
"0212";"Solingen";"Langenfeld (Rheinland), Stadt";"05158020"
"0212";"Solingen";"Leichlingen (Rheinland), Stadt";"05378016"
"0212";"Solingen";"Solingen, Stadt";"05122000"
"0212";"Solingen";"Wuppertal, Stadt";"05124000"
"02129";"Haan Rheinl";"Erkrath, Stadt";"05158004"
"02129";"Haan Rheinl";"Haan, Stadt";"05158008"
"02129";"Haan Rheinl";"Hilden, Stadt";"05158016"
"02131";"Neuss";"Kaarst, Stadt";"05162016"
"02131";"Neuss";"Neuss, Stadt";"05162024"
"02132";"Meerbusch-Buderich";"Meerbusch, Stadt";"05162022"
"02133";"Dormagen";"Dormagen, Stadt";"05162004"
"02137";"Neuss-Norf";"Neuss, Stadt";"05162024"
"0214";"Leverkusen";"Leverkusen, Stadt";"05316000"
"02150";"Meerbusch-Lank";"Meerbusch, Stadt";"05162022"
"02151";"Krefeld";"Duisburg, Stadt";"05112000"
"02151";"Krefeld";"Krefeld, Stadt";"05114000"
"02151";"Krefeld";"Tonisvorst, Stadt";"05166028"
"02152";"Kempen";"Kempen, Stadt";"05166012"
"02152";"Kempen";"Tonisvorst, Stadt";"05166028"
"02153";"Nettetal-Lobberich";"Bruggen";"05166004"
"02153";"Nettetal-Lobberich";"Nettetal, Stadt";"05166016"
"02154";"Willich";"Willich, Stadt";"05166036"
"02156";"Willich-Anrath";"Tonisvorst, Stadt";"05166028"
"02156";"Willich-Anrath";"Willich, Stadt";"05166036"
"02157";"Nettetal-Kaldenkirchen";"Bruggen";"05166004"
"02157";"Nettetal-Kaldenkirchen";"Nettetal, Stadt";"05166016"
"02158";"Grefrath b Krefeld";"Grefrath";"05166008"
"02158";"Grefrath b Krefeld";"Nettetal, Stadt";"05166016"
"02158";"Grefrath b Krefeld";"Tonisvorst, Stadt";"05166028"
"02159";"Meerbusch-Osterath";"Meerbusch, Stadt";"05162022"
"02159";"Meerbusch-Osterath";"Willich, Stadt";"05166036"
"02161";"Monchengladbach";"Kaarst, Stadt";"05162016"
"02161";"Monchengladbach";"Korschenbroich, Stadt";"05162020"
"02161";"Monchengladbach";"Monchengladbach, Stadt";"05116000"
"02161";"Monchengladbach";"Schwalmtal";"05166024"
"02161";"Monchengladbach";"Wegberg, Stadt";"05370040"
"02161";"Monchengladbach";"Willich, Stadt";"05166036"
"02162";"Viersen";"Grefrath";"05166008"
"02162";"Viersen";"Nettetal, Stadt";"05166016"
"02162";"Viersen";"Viersen, Stadt";"05166032"
"02163";"Schwalmtal Niederrhein";"Bruggen";"05166004"
"02163";"Schwalmtal Niederrhein";"Nettetal, Stadt";"05166016"
"02163";"Schwalmtal Niederrhein";"Niederkruchten";"05166020"
"02163";"Schwalmtal Niederrhein";"Schwalmtal";"05166024"
"02164";"Juchen-Otzenrath";"Bedburg, Stadt";"05362004"
"02164";"Juchen-Otzenrath";"Erkelenz, Stadt";"05370004"
"02164";"Juchen-Otzenrath";"Juchen";"05162012"
"02164";"Juchen-Otzenrath";"Titz";"05358056"
"02165";"Juchen";"Juchen";"05162012"
"02166";"Monchengladbach-Rheydt";"Juchen";"05162012"
"02166";"Monchengladbach-Rheydt";"Korschenbroich, Stadt";"05162020"
"02166";"Monchengladbach-Rheydt";"Monchengladbach, Stadt";"05116000"
"02171";"Leverkusen-Opladen";"Langenfeld (Rheinland), Stadt";"05158020"
"02171";"Leverkusen-Opladen";"Leichlingen (Rheinland), Stadt";"05378016"
"02171";"Leverkusen-Opladen";"Leverkusen, Stadt";"05316000"
"02173";"Langenfeld Rheinland";"Langenfeld (Rheinland), Stadt";"05158020"
"02173";"Langenfeld Rheinland";"Leverkusen, Stadt";"05316000"
"02173";"Langenfeld Rheinland";"Monheim am Rhein, Stadt";"05158026"
"02174";"Burscheid Rheinl";"Burscheid, Stadt";"05378008"
"02174";"Burscheid Rheinl";"Leichlingen (Rheinland), Stadt";"05378016"
"02174";"Burscheid Rheinl";"Odenthal";"05378020"
"02174";"Burscheid Rheinl";"Wermelskirchen, Stadt";"05378032"
"02175";"Leichlingen Rheinland";"Leichlingen (Rheinland), Stadt";"05378016"
"02181";"Grevenbroich";"Grevenbroich, Stadt";"05162008"
"02181";"Grevenbroich";"Juchen";"05162012"
"02182";"Grevenbroich-Kapellen";"Dormagen, Stadt";"05162004"
"02182";"Grevenbroich-Kapellen";"Grevenbroich, Stadt";"05162008"
"02182";"Grevenbroich-Kapellen";"Juchen";"05162012"
"02182";"Grevenbroich-Kapellen";"Korschenbroich, Stadt";"05162020"
"02182";"Grevenbroich-Kapellen";"Neuss, Stadt";"05162024"
"02182";"Grevenbroich-Kapellen";"Rommerskirchen";"05162028"
"02183";"Rommerskirchen";"Bergheim, Stadt";"05362008"
"02183";"Rommerskirchen";"Rommerskirchen";"05162028"
"02191";"Remscheid";"Radevormwald, Stadt";"05374036"
"02191";"Remscheid";"Remscheid, Stadt";"05120000"
"02191";"Remscheid";"Wuppertal, Stadt";"05124000"
"02192";"Huckeswagen";"Huckeswagen, Stadt";"05374016"
"02192";"Huckeswagen";"Wipperfurth, Stadt";"05374052"
"02193";"Dabringhausen";"Burscheid, Stadt";"05378008"
"02193";"Dabringhausen";"Odenthal";"05378020"
"02193";"Dabringhausen";"Wermelskirchen, Stadt";"05378032"
"02195";"Radevormwald";"Breckerfeld, Stadt";"05954004"
"02195";"Radevormwald";"Radevormwald, Stadt";"05374036"
"02195";"Radevormwald";"Wipperfurth, Stadt";"05374052"
"02196";"Wermelskirchen";"Solingen, Stadt";"05122000"
"02196";"Wermelskirchen";"Wermelskirchen, Stadt";"05378032"
"02202";"Bergisch Gladbach";"Bergisch Gladbach, Stadt";"05378004"
"02202";"Bergisch Gladbach";"Odenthal";"05378020"
"02203";"Koln-Porz";"Koln, Stadt";"05315000"
"02204";"Bensberg";"Bergisch Gladbach, Stadt";"05378004"
"02204";"Bensberg";"Overath, Stadt";"05378024"
"02205";"Rosrath";"Lohmar, Stadt";"05382028"
"02205";"Rosrath";"Rosrath, Stadt";"05378028"
"02206";"Overath";"Lindlar";"05374020"
"02206";"Overath";"Lohmar, Stadt";"05382028"
"02206";"Overath";"Overath, Stadt";"05378024"
"02207";"Kurten-Durscheid";"Bergisch Gladbach, Stadt";"05378004"
"02207";"Kurten-Durscheid";"Kurten";"05378012"
"02207";"Kurten-Durscheid";"Lindlar";"05374020"
"02207";"Kurten-Durscheid";"Odenthal";"05378020"
"02207";"Kurten-Durscheid";"Overath, Stadt";"05378024"
"02208";"Niederkassel";"Niederkassel, Stadt";"05382044"
"0221";"Koln";"Koln, Stadt";"05315000"
"02222";"Bornheim Rheinl";"Alfter";"05382004"
"02222";"Bornheim Rheinl";"Bornheim, Stadt";"05382012"
"02222";"Bornheim Rheinl";"Swisttal";"05382064"
"02223";"Konigswinter";"Konigswinter, Stadt";"05382024"
"02224";"Bad Honnef";"Bad Honnef, Stadt";"05382008"
"02224";"Bad Honnef";"Bruchhausen";"07138008"
"02224";"Bad Honnef";"Rheinbreitbach";"07138062"
"02224";"Bad Honnef";"Unkel, Stadt";"07138073"
"02225";"Meckenheim Rheinl";"Grafschaft";"07131090"
"02225";"Meckenheim Rheinl";"Meckenheim, Stadt";"05382032"
"02225";"Meckenheim Rheinl";"Rheinbach, Stadt";"05382048"
"02225";"Meckenheim Rheinl";"Wachtberg";"05382072"
"02226";"Rheinbach";"Rheinbach, Stadt";"05382048"
"02226";"Rheinbach";"Swisttal";"05382064"
"02227";"Bornheim-Merten";"Bornheim, Stadt";"05382012"
"02228";"Remagen-Rolandseck";"Remagen, Stadt";"07131070"
"02232";"Bruhl Rheinl";"Bruhl, Stadt";"05362012"
"02233";"Hurth Rheinl";"Hurth, Stadt";"05362028"
"02234";"Frechen";"Frechen, Stadt";"05362024"
"02235";"Erftstadt";"Erftstadt, Stadt";"05362020"
"02236";"Wesseling Rheinl";"Wesseling, Stadt";"05362040"
"02237";"Kerpen Rheinl-Turnich";"Kerpen, Stadt";"05362032"
"02238";"Pulheim";"Pulheim, Stadt";"05362036"
"02241";"Siegburg";"Lohmar, Stadt";"05382028"
"02241";"Siegburg";"Neunkirchen-Seelscheid";"05382040"
"02241";"Siegburg";"Sankt Augustin, Stadt";"05382056"
"02241";"Siegburg";"Siegburg, Stadt";"05382060"
"02241";"Siegburg";"Troisdorf, Stadt";"05382068"
"02242";"Hennef Sieg";"Hennef (Sieg), Stadt";"05382020"
"02242";"Hennef Sieg";"Siegburg, Stadt";"05382060"
"02243";"Eitorf";"Eitorf";"05382016"
"02243";"Eitorf";"Hennef (Sieg), Stadt";"05382020"
"02243";"Eitorf";"Windeck";"05382076"
"02244";"Konigswinter-Oberpleis";"Hennef (Sieg), Stadt";"05382020"
"02244";"Konigswinter-Oberpleis";"Konigswinter, Stadt";"05382024"
"02245";"Much";"Much";"05382036"
"02245";"Much";"Numbrecht";"05374032"
"02246";"Lohmar";"Lohmar, Stadt";"05382028"
"02246";"Lohmar";"Troisdorf, Stadt";"05382068"
"02247";"Neunkirchen-Seelscheid";"Lohmar, Stadt";"05382028"
"02247";"Neunkirchen-Seelscheid";"Neunkirchen-Seelscheid";"05382040"
"02247";"Neunkirchen-Seelscheid";"Ruppichteroth";"05382052"
"02248";"Hennef-Uckerath";"Buchholz (Westerwald)";"07138080"
"02248";"Hennef-Uckerath";"Hennef (Sieg), Stadt";"05382020"
"02248";"Hennef-Uckerath";"Konigswinter, Stadt";"05382024"
"02251";"Euskirchen";"Euskirchen, Stadt";"05366016"
"02251";"Euskirchen";"Swisttal";"05382064"
"02251";"Euskirchen";"Weilerswist";"05366040"
"02251";"Euskirchen";"Zulpich, Stadt";"05366044"
"02252";"Zulpich";"Vettwei?";"05358060"
"02252";"Zulpich";"Zulpich, Stadt";"05366044"
"02253";"Bad Munstereifel";"Bad Munstereifel, Stadt";"05366004"
"02253";"Bad Munstereifel";"Nettersheim";"05366032"
"02254";"Weilerswist";"Swisttal";"05382064"
"02254";"Weilerswist";"Weilerswist";"05366040"
"02255";"Euskirchen-Flamersheim";"Euskirchen, Stadt";"05366016"
"02255";"Euskirchen-Flamersheim";"Rheinbach, Stadt";"05382048"
"02255";"Euskirchen-Flamersheim";"Swisttal";"05382064"
"02256";"Mechernich-Satzvey";"Mechernich, Stadt";"05366028"
"02256";"Mechernich-Satzvey";"Zulpich, Stadt";"05366044"
"02257";"Reckerscheid";"Bad Munstereifel, Stadt";"05366004"
"02261";"Gummersbach";"Bergneustadt, Stadt";"05374004"
"02261";"Gummersbach";"Engelskirchen";"05374008"
"02261";"Gummersbach";"Gummersbach, Stadt";"05374012"
"02261";"Gummersbach";"Marienheide";"05374024"
"02261";"Gummersbach";"Reichshof";"05374040"
"02261";"Gummersbach";"Wiehl, Stadt";"05374048"
"02262";"Wiehl";"Engelskirchen";"05374008"
"02262";"Wiehl";"Gummersbach, Stadt";"05374012"
"02262";"Wiehl";"Numbrecht";"05374032"
"02262";"Wiehl";"Wiehl, Stadt";"05374048"
"02263";"Engelskirchen";"Engelskirchen";"05374008"
"02263";"Engelskirchen";"Gummersbach, Stadt";"05374012"
"02264";"Marienheide";"Gummersbach, Stadt";"05374012"
"02264";"Marienheide";"Marienheide";"05374024"
"02265";"Reichshof-Eckenhagen";"Bergneustadt, Stadt";"05374004"
"02265";"Reichshof-Eckenhagen";"Reichshof";"05374040"
"02266";"Lindlar";"Gummersbach, Stadt";"05374012"
"02266";"Lindlar";"Lindlar";"05374020"
"02267";"Wipperfurth";"Lindlar";"05374020"
"02267";"Wipperfurth";"Wipperfurth, Stadt";"05374052"
"02268";"Kurten";"Kurten";"05378012"
"02268";"Kurten";"Lindlar";"05374020"
"02268";"Kurten";"Wipperfurth, Stadt";"05374052"
"02269";"Kierspe-Ronsahl";"Halver, Stadt";"05962012"
"02269";"Kierspe-Ronsahl";"Kierspe, Stadt";"05962028"
"02269";"Kierspe-Ronsahl";"Marienheide";"05374024"
"02269";"Kierspe-Ronsahl";"Wipperfurth, Stadt";"05374052"
"02271";"Bergheim Erft";"Bergheim, Stadt";"05362008"
"02271";"Bergheim Erft";"Elsdorf";"05362016"
"02272";"Bedburg Erft";"Bedburg, Stadt";"05362004"
"02272";"Bedburg Erft";"Bergheim, Stadt";"05362008"
"02273";"Kerpen-Horrem";"Kerpen, Stadt";"05362032"
"02274";"Elsdorf Rheinl";"Elsdorf";"05362016"
"02275";"Kerpen-Buir";"Kerpen, Stadt";"05362032"
"02275";"Kerpen-Buir";"Merzenich";"05358040"
"0228";"Bonn";"Alfter";"05382004"
"0228";"Bonn";"Bonn, Stadt";"05314000"
"0228";"Bonn";"Bornheim, Stadt";"05382012"
"0228";"Bonn";"Konigswinter, Stadt";"05382024"
"0228";"Bonn";"Niederkassel, Stadt";"05382044"
"0228";"Bonn";"Troisdorf, Stadt";"05382068"
"0228";"Bonn";"Wachtberg";"05382072"
"02291";"Waldbrol";"Morsbach";"05374028"
"02291";"Waldbrol";"Numbrecht";"05374032"
"02291";"Waldbrol";"Waldbrol, Stadt";"05374044"
"02292";"Windeck Sieg";"Waldbrol, Stadt";"05374044"
"02292";"Windeck Sieg";"Windeck";"05382076"
"02293";"Numbrecht";"Numbrecht";"05374032"
"02294";"Morsbach Sieg";"Friesenhagen";"07132037"
"02294";"Morsbach Sieg";"Morsbach";"05374028"
"02295";"Ruppichteroth";"Numbrecht";"05374032"
"02295";"Ruppichteroth";"Ruppichteroth";"05382052"
"02295";"Ruppichteroth";"Waldbrol, Stadt";"05374044"
"02295";"Ruppichteroth";"Windeck";"05382076"
"02296";"Reichshof-Bruchermuhle";"Reichshof";"05374040"
"02296";"Reichshof-Bruchermuhle";"Waldbrol, Stadt";"05374044"
"02296";"Reichshof-Bruchermuhle";"Wiehl, Stadt";"05374048"
"02297";"Wildbergerhutte";"Friesenhagen";"07132037"
"02297";"Wildbergerhutte";"Reichshof";"05374040"
"02301";"Holzwickede";"Holzwickede";"05978016"
"02302";"Witten";"Witten, Stadt";"05954036"
"02303";"Unna";"Frondenberg, Stadt";"05978012"
"02303";"Unna";"Unna, Stadt";"05978036"
"02304";"Schwerte";"Dortmund, Stadt";"05913000"
"02304";"Schwerte";"Hagen, Stadt";"05914000"
"02304";"Schwerte";"Iserlohn, Stadt";"05962024"
"02304";"Schwerte";"Schwerte, Stadt";"05978028"
"02305";"Castrop-Rauxel";"Castrop-Rauxel, Stadt";"05562004"
"02306";"Lunen";"Bergkamen, Stadt";"05978004"
"02306";"Lunen";"Lunen, Stadt";"05978024"
"02306";"Lunen";"Selm, Stadt";"05978032"
"02306";"Lunen";"Werne, Stadt";"05978040"
"02307";"Kamen";"Bergkamen, Stadt";"05978004"
"02307";"Kamen";"Hamm, Stadt";"05915000"
"02307";"Kamen";"Kamen, Stadt";"05978020"
"02308";"Unna-Hemmerde";"Unna, Stadt";"05978036"
"02308";"Unna-Hemmerde";"Wickede (Ruhr)";"05974056"
"02309";"Waltrop";"Waltrop, Stadt";"05562036"
"0231";"Dortmund";"Dortmund, Stadt";"05913000"
"0231";"Dortmund";"Lunen, Stadt";"05978024"
"02323";"Herne";"Herne, Stadt";"05916000"
"02324";"Hattingen Ruhr";"Hattingen, Stadt";"05954016"
"02325";"Wanne-Eickel";"Herne, Stadt";"05916000"
"02327";"Bochum-Wattenscheid";"Bochum, Stadt";"05911000"
"02330";"Herdecke";"Herdecke, Stadt";"05954020"
"02331";"Hagen Westf";"Breckerfeld, Stadt";"05954004"
"02331";"Hagen Westf";"Hagen, Stadt";"05914000"
"02332";"Gevelsberg";"Gevelsberg, Stadt";"05954012"
"02333";"Ennepetal";"Breckerfeld, Stadt";"05954004"
"02333";"Ennepetal";"Ennepetal, Stadt";"05954008"
"02334";"Hagen-Hohenlimburg";"Hagen, Stadt";"05914000"
"02334";"Hagen-Hohenlimburg";"Nachrodt-Wiblingwerde";"05962044"
"02335";"Wetter Ruhr";"Herdecke, Stadt";"05954020"
"02335";"Wetter Ruhr";"Wetter (Ruhr), Stadt";"05954032"
"02336";"Schwelm";"Schwelm, Stadt";"05954024"
"02337";"Hagen-Dahl";"Breckerfeld, Stadt";"05954004"
"02337";"Hagen-Dahl";"Hagen, Stadt";"05914000"
"02337";"Hagen-Dahl";"Schalksmuhle";"05962056"
"02338";"Breckerfeld";"Breckerfeld, Stadt";"05954004"
"02339";"Sprockhovel-Ha?linghausen";"Gevelsberg, Stadt";"05954012"
"02339";"Sprockhovel-Ha?linghausen";"Schwelm, Stadt";"05954024"
"02339";"Sprockhovel-Ha?linghausen";"Sprockhovel, Stadt";"05954028"
"02339";"Sprockhovel-Ha?linghausen";"Wuppertal, Stadt";"05124000"
"0234";"Bochum";"Bochum, Stadt";"05911000"
"02351";"Ludenscheid";"Altena, Stadt";"05962004"
"02351";"Ludenscheid";"Halver, Stadt";"05962012"
"02351";"Ludenscheid";"Herscheid";"05962020"
"02351";"Ludenscheid";"Kierspe, Stadt";"05962028"
"02351";"Ludenscheid";"Ludenscheid, Stadt";"05962032"
"02351";"Ludenscheid";"Schalksmuhle";"05962056"
"02351";"Ludenscheid";"Werdohl, Stadt";"05962060"
"02352";"Altena Westf";"Altena, Stadt";"05962004"
"02352";"Altena Westf";"Iserlohn, Stadt";"05962024"
"02352";"Altena Westf";"Nachrodt-Wiblingwerde";"05962044"
"02352";"Altena Westf";"Werdohl, Stadt";"05962060"
"02353";"Halver";"Halver, Stadt";"05962012"
"02353";"Halver";"Kierspe, Stadt";"05962028"
"02353";"Halver";"Wipperfurth, Stadt";"05374052"
"02354";"Meinerzhagen";"Gummersbach, Stadt";"05374012"
"02354";"Meinerzhagen";"Marienheide";"05374024"
"02354";"Meinerzhagen";"Meinerzhagen, Stadt";"05962036"
"02355";"Schalksmuhle";"Hagen, Stadt";"05914000"
"02355";"Schalksmuhle";"Halver, Stadt";"05962012"
"02355";"Schalksmuhle";"Ludenscheid, Stadt";"05962032"
"02355";"Schalksmuhle";"Schalksmuhle";"05962056"
"02357";"Herscheid Westf";"Herscheid";"05962020"
"02357";"Herscheid Westf";"Meinerzhagen, Stadt";"05962036"
"02358";"Meinerzhagen-Valbert";"Meinerzhagen, Stadt";"05962036"
"02359";"Kierspe";"Kierspe, Stadt";"05962028"
"02359";"Kierspe";"Marienheide";"05374024"
"02359";"Kierspe";"Meinerzhagen, Stadt";"05962036"
"02360";"Haltern-Lippramsdorf";"Haltern am See, Stadt";"05562016"
"02361";"Recklinghausen";"Recklinghausen, Stadt";"05562032"
"02362";"Dorsten";"Dorsten, Stadt";"05562012"
"02363";"Datteln";"Datteln, Stadt";"05562008"
"02363";"Datteln";"Waltrop, Stadt";"05562036"
"02364";"Haltern Westf";"Haltern am See, Stadt";"05562016"
"02364";"Haltern Westf";"Marl, Stadt";"05562024"
"02365";"Marl";"Herten, Stadt";"05562020"
"02365";"Marl";"Marl, Stadt";"05562024"
"02366";"Herten Westf";"Herten, Stadt";"05562020"
"02367";"Henrichenburg";"Castrop-Rauxel, Stadt";"05562004"
"02368";"Oer-Erkenschwick";"Oer-Erkenschwick, Stadt";"05562028"
"02369";"Dorsten-Wulfen";"Dorsten, Stadt";"05562012"
"02371";"Iserlohn";"Iserlohn, Stadt";"05962024"
"02372";"Hemer";"Hemer, Stadt";"05962016"
"02373";"Menden Sauerland";"Frondenberg, Stadt";"05978012"
"02373";"Menden Sauerland";"Menden (Sauerland), Stadt";"05962040"
"02374";"Iserlohn-Letmathe";"Hagen, Stadt";"05914000"
"02374";"Iserlohn-Letmathe";"Iserlohn, Stadt";"05962024"
"02375";"Balve";"Balve, Stadt";"05962008"
"02375";"Balve";"Neuenrade, Stadt";"05962048"
"02377";"Wickede Ruhr";"Frondenberg, Stadt";"05978012"
"02377";"Wickede Ruhr";"Wickede (Ruhr)";"05974056"
"02378";"Frondenberg-Langschede";"Frondenberg, Stadt";"05978012"
"02378";"Frondenberg-Langschede";"Iserlohn, Stadt";"05962024"
"02378";"Frondenberg-Langschede";"Menden (Sauerland), Stadt";"05962040"
"02379";"Menden-Asbeck";"Arnsberg, Stadt";"05958004"
"02379";"Menden-Asbeck";"Balve, Stadt";"05962008"
"02379";"Menden-Asbeck";"Menden (Sauerland), Stadt";"05962040"
"02381";"Hamm Westf";"Hamm, Stadt";"05915000"
"02382";"Ahlen Westf";"Ahlen, Stadt";"05570004"
"02383";"Bonen";"Bonen";"05978008"
"02383";"Bonen";"Hamm, Stadt";"05915000"
"02384";"Welver";"Hamm, Stadt";"05915000"
"02384";"Welver";"Welver";"05974048"
"02385";"Hamm-Rhynern";"Hamm, Stadt";"05915000"
"02387";"Drensteinfurt-Walstedde";"Drensteinfurt, Stadt";"05570016"
"02388";"Hamm-Uentrop";"Ahlen, Stadt";"05570004"
"02388";"Hamm-Uentrop";"Hamm, Stadt";"05915000"
"02388";"Hamm-Uentrop";"Lippetal";"05974024"
"02388";"Hamm-Uentrop";"Welver";"05974048"
"02389";"Werne";"Bergkamen, Stadt";"05978004"
"02389";"Werne";"Werne, Stadt";"05978040"
"02391";"Plettenberg";"Plettenberg, Stadt";"05962052"
"02392";"Werdohl";"Herscheid";"05962020"
"02392";"Werdohl";"Neuenrade, Stadt";"05962048"
"02392";"Werdohl";"Plettenberg, Stadt";"05962052"
"02392";"Werdohl";"Werdohl, Stadt";"05962060"
"02393";"Sundern-Allendorf";"Sundern (Sauerland), Stadt";"05958044"
"02394";"Neuenrade-Affeln";"Neuenrade, Stadt";"05962048"
"02395";"Finnentrop-Ronkhausen";"Finnentrop";"05966012"
"02395";"Finnentrop-Ronkhausen";"Plettenberg, Stadt";"05962052"
"02395";"Finnentrop-Ronkhausen";"Sundern (Sauerland), Stadt";"05958044"
"02401";"Baesweiler";"Baesweiler, Stadt";"05354008"
"02402";"Stolberg Rheinl";"Stolberg (Rhld.), Stadt";"05354032"
"02403";"Eschweiler Rheinl";"Eschweiler, Stadt";"05354012"
"02403";"Eschweiler Rheinl";"Stolberg (Rhld.), Stadt";"05354032"
"02404";"Alsdorf Rheinl";"Alsdorf, Stadt";"05354004"
"02404";"Alsdorf Rheinl";"Ubach-Palenberg, Stadt";"05370028"
"02405";"Wurselen";"Wurselen, Stadt";"05354036"
"02406";"Herzogenrath";"Alsdorf, Stadt";"05354004"
"02406";"Herzogenrath";"Herzogenrath, Stadt";"05354016"
"02406";"Herzogenrath";"Wurselen, Stadt";"05354036"
"02407";"Herzogenrath-Kohlscheid";"Aachen, Stadt";"05313000"
"02407";"Herzogenrath-Kohlscheid";"Herzogenrath, Stadt";"05354016"
"02408";"Aachen-Kornelimunster";"Aachen, Stadt";"05313000"
"02408";"Aachen-Kornelimunster";"Roetgen";"05354024"
"02408";"Aachen-Kornelimunster";"Stolberg (Rhld.), Stadt";"05354032"
"02409";"Stolberg-Gressenich";"Stolberg (Rhld.), Stadt";"05354032"
"0241";"Aachen";"Aachen, Stadt";"05313000"
"0241";"Aachen";"Aachen-Heerlen ""AVANTIS"" (NL)";"NL (siehe Hinweise *2)"
"0241";"Aachen";"Herzogenrath, Stadt";"05354016"
"02421";"Duren";"Duren, Stadt";"05358008"
"02421";"Duren";"Kreuzau";"05358028"
"02421";"Duren";"Merzenich";"05358040"
"02421";"Duren";"Niederzier";"05358048"
"02421";"Duren";"Norvenich";"05358052"
"02422";"Kreuzau";"Kreuzau";"05358028"
"02423";"Langerwehe";"Inden";"05358020"
"02423";"Langerwehe";"Langerwehe";"05358032"
"02424";"Vettweiss";"Vettwei?";"05358060"
"02425";"Nideggen-Embken";"Heimbach, Stadt";"05358012"
"02425";"Nideggen-Embken";"Nideggen, Stadt";"05358044"
"02425";"Nideggen-Embken";"Vettwei?";"05358060"
"02425";"Nideggen-Embken";"Zulpich, Stadt";"05366044"
"02426";"Norvenich";"Norvenich";"05358052"
"02427";"Nideggen";"Hurtgenwald";"05358016"
"02427";"Nideggen";"Kreuzau";"05358028"
"02427";"Nideggen";"Nideggen, Stadt";"05358044"
"02428";"Niederzier";"Inden";"05358020"
"02428";"Niederzier";"Niederzier";"05358048"
"02429";"Hurtgenwald";"Hurtgenwald";"05358016"
"02431";"Erkelenz";"Erkelenz, Stadt";"05370004"
